matchId,eventTime,homeTeam,awayTeam
"g_3_Qmwh8X55","05.03. 17:45","Fenerbahce","Monaco"
"g_3_b1y06BzI","05.03. 19:05Postp","Maccabi Tel Aviv","Hapoel Tel-Aviv"
"g_3_fTU84k5U","05.03. 19:30","Olimpia Milano","Barcelona"
"g_3_phAIOhjn","05.03. 19:30Postp","Partizan Mozzart Bet","Dubai"
"g_3_67bRMWKb","05.03. 19:30","Valencia","Zalgiris Kaunas"
"g_3_hOdZKAkB","05.03. 19:45","Real Madrid","Virtus Bologna"
"g_3_nPE722Zq","06.03. 17:30","Anadolu Efes","Lyon-Villeurbanne"
"g_3_KxDF0t4d","06.03. 19:00","Crvena Zvezda Meridianbet","Bayern"
"g_3_zoe2Oqd3","06.03. 19:15","Olympiacos","Panathinaikos"
"g_3_trbAMNQF","06.03. 19:30","Baskonia","Paris"
"g_3_67EUnajd","10.03. 19:45","Paris","Olympiacos"
"g_3_2cnJK1eS","12.03. 17:00","Dubai","Baskonia"
"g_3_KCTORI2e","12.03. 18:00","Monaco","Olympiacos"
"g_3_YuwkFuJk","12.03. 19:30","Bayern","Anadolu Efes"
"g_3_U7WcDJm2","12.03. 19:30","Panathinaikos","Zalgiris Kaunas"
"g_3_M1JqyNu9","12.03. 19:30","Virtus Bologna","Partizan Mozzart Bet"
"g_3_bcuGTvYr","12.03. 19:45","Real Madrid","Valencia"
"g_3_SElpZ0AL","12.03. 20:00","Paris","Lyon-Villeurbanne"
"g_3_SxXWPdX7","13.03. 19:00","Crvena Zvezda Meridianbet","Fenerbahce"
"g_3_tIEJm0PE","13.03. 19:30","Barcelona","Hapoel Tel-Aviv"
"g_3_x4CH9yGa","13.03. 19:30","Olimpia Milano","Maccabi Tel Aviv"
"g_3_trbDKc15","17.03. 19:15","Olympiacos","Fenerbahce"
"g_3_8hY00w9K","19.03. 17:00","Valencia","Barcelona"
"g_3_EVCRovfR","19.03. 17:30","Anadolu Efes","Monaco"
"g_3_YFgbtIHl","19.03. 19:05","Hapoel Tel-Aviv","Virtus Bologna"
"g_3_2eoFxzHD","19.03. 19:15","Olympiacos","Baskonia"
"g_3_ttc6vdn1","19.03. 19:30","Bayern","Dubai"
"g_3_SxFXfHWs","19.03. 19:45","Paris","Partizan Mozzart Bet"
"g_3_0jDuge1f","20.03. 17:45","Fenerbahce","Olimpia Milano"
"g_3_dI6liZV6","20.03. 18:00","Zalgiris Kaunas","Real Madrid"
"g_3_OQNHY8Vo","20.03. 19:15","Panathinaikos","Crvena Zvezda Meridianbet"
"g_3_lQOekD0J","20.03. 19:45","Lyon-Villeurbanne","Maccabi Tel Aviv"
"g_3_WjRPWn0b","24.03. 16:00","Dubai","Panathinaikos"
"g_3_riM5NrNp","24.03. 18:00","Maccabi Tel Aviv","Fenerbahce"
"g_3_SIKYUQUA","24.03. 18:00","Monaco","Olimpia Milano"
"g_3_0WItT4aN","24.03. 18:00","Zalgiris Kaunas","Bayern"
"g_3_AcEionFi","24.03. 19:30","Barcelona","Anadolu Efes"
"g_3_vw68s4EG","24.03. 19:30","Valencia","Olympiacos"
"g_3_WC20qQq4","24.03. 19:45","Partizan Mozzart Bet","Lyon-Villeurbanne"
"g_3_YyaHurqT","24.03. 20:00","Real Madrid","Hapoel Tel-Aviv"
"g_3_pGSZcPbc","25.03. 19:30","Baskonia","Crvena Zvezda Meridianbet"
"g_3_htWsd3T9","26.03. 19:05","Maccabi Tel Aviv","Dubai"
"g_3_AuLLlLLq","26.03. 19:30","Bayern","Lyon-Villeurbanne"
"g_3_EeKjfsbM","26.03. 19:30","Olimpia Milano","Virtus Bologna"
"g_3_b11GA2r3","26.03. 19:45","Real Madrid","Anadolu Efes"
"g_3_fTfP8tDF","27.03. 17:45","Fenerbahce","Zalgiris Kaunas"
"g_3_0QcX6KsS","27.03. 19:15","Panathinaikos","Monaco"
"g_3_hOxCaxz2","27.03. 19:30","Barcelona","Crvena Zvezda Meridianbet"
"g_3_pbZ31b5k","27.03. 19:30","Baskonia","Hapoel Tel-Aviv"
"g_3_8WKbNuS8","27.03. 19:30","Partizan Mozzart Bet","Valencia"
"g_3_U7pmzM6j","31.03. 18:45","Virtus Bologna","Paris"
"g_3_zuYUB6PO","01.04. 17:00","Bayern","Fenerbahce"
"g_3_6o1u1kB6","02.04. 17:00","Zalgiris Kaunas","Barcelona"
"g_3_S0klaTuJ","02.04. 18:00","Crvena Zvezda Meridianbet","Partizan Mozzart Bet"
"g_3_bLcX2Btf","02.04. 18:05","Hapoel Tel-Aviv","Panathinaikos"
"g_3_f7szNWXP","02.04. 18:45","Paris","Olimpia Milano"
"g_3_vJsW4XBs","02.04. 19:00","Maccabi Tel Aviv","Anadolu Efes"
"g_3_bZx6HAem","03.04. 16:00","Dubai","Monaco"
"g_3_WnyEFlQa","03.04. 18:00","Lyon-Villeurbanne","Olympiacos"
"g_3_SEUMDSfC","03.04. 18:30","Baskonia","Real Madrid"
"g_3_vgbuW9At","03.04. 18:30","Virtus Bologna","Valencia"
"g_3_fkl4Q5vI","07.04. 16:45","Hapoel Tel-Aviv","Fenerbahce"
"g_3_Q9dmUmug","07.04. 17:00","Zalgiris Kaunas","Dubai"
"g_3_MyjdSR95","07.04. 18:00","Crvena Zvezda Meridianbet","Paris"
"g_3_jHsDOq9U","07.04. 18:15","Olympiacos","Real Madrid"
"g_3_0SAVtROb","07.04. 18:30","Barcelona","Panathinaikos"
"g_3_8hEwu5gB","07.04. 18:30","Valencia","Olimpia Milano"
"g_3_4K7nwqON","07.04. 18:30","Virtus Bologna","Bayern"
"g_3_vDMMrmfn","07.04. 19:00","Baskonia","Maccabi Tel Aviv"
"g_3_0jgIXMoo","08.04. 17:30","Anadolu Efes","Partizan Mozzart Bet"
"g_3_QqDdeQwh","08.04. 17:30","Monaco","Lyon-Villeurbanne"
"g_3_fP4DirwH","09.04. 17:45","Fenerbahce","Real Madrid"
"g_3_Y9G4g484","09.04. 18:05","Hapoel Tel-Aviv","Olympiacos"
"g_3_0OWpZZMk","09.04. 18:30","Olimpia Milano","Bayern"
"g_3_nHCueHq9","09.04. 18:45","Valencia","Panathinaikos"
"g_3_fNPgXDi2","09.04. 19:00","Paris","Maccabi Tel Aviv"
"g_3_rq6lgeEL","10.04. 16:00","Dubai","Anadolu Efes"
"g_3_ERdKmZyq","10.04. 17:30","Monaco","Barcelona"
"g_3_Mcqypiy8","10.04. 18:30","Partizan Mozzart Bet","Zalgiris Kaunas"
"g_3_vZDLi3fE","10.04. 18:30","Virtus Bologna","Baskonia"
"g_3_zsoToD6e","10.04. 18:45","Lyon-Villeurbanne","Crvena Zvezda Meridianbet"
"g_3_CnCTksPQ","16.04. 18:00","Lyon-Villeurbanne","Fenerbahce"
"g_3_WWh0pLnl","16.04. 18:05","Maccabi Tel Aviv","Virtus Bologna"
"g_3_OvB7raH0","16.04. 18:15","Olympiacos","Olimpia Milano"
"g_3_pfaGtwnD","16.04. 18:30","Partizan Mozzart Bet","Baskonia"
"g_3_C0i24tvK","16.04. 18:45","Real Madrid","Crvena Zvezda Meridianbet"
"g_3_WpYYbK1s","17.04. 16:00","Dubai","Valencia"
"g_3_4bWtcbWg","17.04. 17:00","Zalgiris Kaunas","Paris"
"g_3_O0nrex16","17.04. 17:30","Monaco","Hapoel Tel-Aviv"
"g_3_WQkjgGVI","17.04. 18:15","Panathinaikos","Anadolu Efes"
"g_3_CMSxHJNP","17.04. 18:30","Barcelona","Bayern"